tweet_id	date	time	lang	country_code
1346833902841823234	2021-01-06	15:00:00	en	NULL
1346833902980067329	2021-01-06	15:00:00	en	NULL
1346833903487692800	2021-01-06	15:00:00	en	NULL
1346833903496134657	2021-01-06	15:00:00	en	NULL
1346833903537950722	2021-01-06	15:00:00	en	NULL
1346833903546458113	2021-01-06	15:00:00	en	NULL
1346833903617781762	2021-01-06	15:00:00	en	NULL
1346833903714267141	2021-01-06	15:00:00	en	NULL
1346833903898796034	2021-01-06	15:00:00	en	NULL
1346833903923945472	2021-01-06	15:00:00	en	NULL
1346833904041390080	2021-01-06	15:00:00	en	NULL
1346833904049790977	2021-01-06	15:00:00	en	NULL
1346833904087560193	2021-01-06	15:00:00	en	NULL
1346833904284692481	2021-01-06	15:00:00	en	NULL
1346833904292999168	2021-01-06	15:00:00	en	NULL
1346833904318210051	2021-01-06	15:00:00	en	NULL
1346833904976633857	2021-01-06	15:00:00	en	NULL
1346833905027084290	2021-01-06	15:00:00	en	NULL
1346833905328947204	2021-01-06	15:00:00	en	NULL
1346833905412943872	2021-01-06	15:00:00	en	NULL
1346833905421172739	2021-01-06	15:00:00	en	NULL
1346833905437949953	2021-01-06	15:00:00	en	CA
1346833905446506496	2021-01-06	15:00:00	en	NULL
1346833905484066816	2021-01-06	15:00:00	en	NULL
1346833905731690499	2021-01-06	15:00:00	en	NULL
1346833905895305216	2021-01-06	15:00:00	en	NULL
1346833905941442563	2021-01-06	15:00:00	en	NULL
1346833905995771904	2021-01-06	15:00:00	en	NULL
1346833906042073089	2021-01-06	15:00:00	en	NULL
1346833906046267395	2021-01-06	15:00:00	en	NULL
1346833906046300162	2021-01-06	15:00:00	en	NULL
1346833906121781254	2021-01-06	15:00:00	en	NULL
1346833906172112896	2021-01-06	15:00:00	en	NULL
1346833906176286722	2021-01-06	15:00:00	en	NULL
1346833906260185088	2021-01-06	15:00:00	en	NULL
1346833906440527879	2021-01-06	15:00:00	en	NULL
1346833906457260038	2021-01-06	15:00:00	en	NULL
1346833906507550722	2021-01-06	15:00:00	en	NULL
1346833906629226497	2021-01-06	15:00:00	en	NULL
1346833906675437572	2021-01-06	15:00:00	en	NULL
1346833906688012288	2021-01-06	15:00:00	en	NULL
1346833908948582400	2021-01-06	15:00:01	en	NULL
1346833909124919296	2021-01-06	15:00:01	en	NULL
1346833909393326080	2021-01-06	15:00:01	en	NULL
1346833909498015745	2021-01-06	15:00:01	en	NULL
1346833909581975552	2021-01-06	15:00:01	en	NULL
1346833909884063747	2021-01-06	15:00:01	en	NULL
1346833909946798080	2021-01-06	15:00:01	en	NULL
1346833909967949825	2021-01-06	15:00:01	en	NULL
1346833910190272512	2021-01-06	15:00:01	en	NULL
1346833910194450432	2021-01-06	15:00:01	en	NULL
1346833910219513857	2021-01-06	15:00:01	en	NULL
1346833910492065793	2021-01-06	15:00:01	en	NULL
1346833910529974273	2021-01-06	15:00:01	en	NULL
1346833910638862338	2021-01-06	15:00:01	en	NULL
1346833910639046656	2021-01-06	15:00:01	en	NULL
1346833910689374215	2021-01-06	15:00:01	en	NULL
1346833910735511554	2021-01-06	15:00:01	en	NULL
1346833910945103872	2021-01-06	15:00:01	en	NULL
1346833910949244928	2021-01-06	15:00:01	en	NULL
1346833911029129219	2021-01-06	15:00:02	en	NULL
1346833911087824897	2021-01-06	15:00:02	en	NULL
1346833914149666816	2021-01-06	15:00:02	en	NULL
1346833914392961024	2021-01-06	15:00:02	en	NULL
1346833914443280384	2021-01-06	15:00:02	en	NULL
1346833914535542785	2021-01-06	15:00:02	en	NULL
1346833914690723842	2021-01-06	15:00:02	en	NULL
1346833914833342465	2021-01-06	15:00:02	en	NULL
1346833914858512385	2021-01-06	15:00:02	en	NULL
1346833914866884609	2021-01-06	15:00:02	en	NULL
1346833915277938691	2021-01-06	15:00:03	en	NULL
1346833915412164608	2021-01-06	15:00:03	en	NULL
1346833915512827904	2021-01-06	15:00:03	en	NULL
1346833915856773121	2021-01-06	15:00:03	en	NULL
1346833916154535941	2021-01-06	15:00:03	en	NULL
1346833916154572804	2021-01-06	15:00:03	en	NULL
1346833916200706048	2021-01-06	15:00:03	en	NULL
